date,nav
21-10-2016,13.65540
20-10-2016,13.65080
19-10-2016,13.66120
18-10-2016,13.66560
17-10-2016,13.64530
14-10-2016,13.64440
13-10-2016,13.67160
10-10-2016,13.68850
07-10-2016,13.66200
06-10-2016,13.68830
05-10-2016,13.70240
04-10-2016,13.64980
03-10-2016,13.63600
30-09-2016,13.58470
29-09-2016,13.55560
28-09-2016,13.62820
27-09-2016,13.61990
26-09-2016,13.59420
23-09-2016,13.53880
22-09-2016,13.51720
21-09-2016,13.46050
20-09-2016,13.44570
19-09-2016,13.45970
16-09-2016,13.45540
15-09-2016,13.44690
14-09-2016,13.43890
12-09-2016,13.44610
09-09-2016,13.46950
08-09-2016,13.47570
07-09-2016,13.46890
06-09-2016,13.42640
02-09-2016,13.40320
01-09-2016,13.41440
31-08-2016,13.41380
30-08-2016,13.40900
29-08-2016,13.39520
26-08-2016,13.37830
25-08-2016,13.36930
24-08-2016,13.35110
23-08-2016,13.32390
22-08-2016,13.31910
19-08-2016,13.36160
18-08-2016,13.33550
16-08-2016,13.36460
12-08-2016,13.36900
11-08-2016,13.36930
10-08-2016,13.33680
09-08-2016,13.29520
08-08-2016,13.23620
05-08-2016,13.22590
04-08-2016,13.21840
03-08-2016,13.19750
02-08-2016,13.22190
01-08-2016,13.24530
29-07-2016,13.21070
28-07-2016,13.18920
27-07-2016,13.11050
26-07-2016,13.10550
25-07-2016,13.09890
22-07-2016,13.08600
21-07-2016,13.07430
20-07-2016,13.05370
19-07-2016,13.02670
18-07-2016,12.99690
15-07-2016,13.00570
14-07-2016,12.99050
13-07-2016,12.98440
12-07-2016,12.94130
11-07-2016,12.90000
08-07-2016,12.88640
07-07-2016,12.86920
05-07-2016,12.85660
04-07-2016,12.82800
01-07-2016,12.82560
30-06-2016,12.81020
29-06-2016,12.81590
28-06-2016,12.79370
27-06-2016,12.77700
24-06-2016,12.74060
23-06-2016,12.73100
22-06-2016,12.72380
21-06-2016,12.70830
20-06-2016,12.69930
17-06-2016,12.69460
16-06-2016,12.69470
15-06-2016,12.68700
14-06-2016,12.68260
13-06-2016,12.67640
10-06-2016,12.69140
09-06-2016,12.69530
08-06-2016,12.69440
07-06-2016,12.69280
06-06-2016,12.69920
03-06-2016,12.68640
02-06-2016,12.67900
01-06-2016,12.67080
31-05-2016,12.68100
30-05-2016,12.68350
27-05-2016,12.66960
26-05-2016,12.67100
25-05-2016,12.67840
24-05-2016,12.67930
23-05-2016,12.68140
20-05-2016,12.66980
19-05-2016,12.67420
18-05-2016,12.66640
17-05-2016,12.68030
16-05-2016,12.68100
13-05-2016,12.67620
12-05-2016,12.68190
11-05-2016,12.68000
10-05-2016,12.67730
09-05-2016,12.67460
06-05-2016,12.66160
05-05-2016,12.65800
04-05-2016,12.65470
03-05-2016,12.64680
02-05-2016,12.65210
29-04-2016,12.64940
28-04-2016,12.63250
27-04-2016,12.62030
26-04-2016,12.61550
25-04-2016,12.62340
22-04-2016,12.62790
21-04-2016,12.61660
20-04-2016,12.64660
18-04-2016,12.64220
13-04-2016,12.62980
12-04-2016,12.65350
11-04-2016,12.63730
07-04-2016,12.60240
06-04-2016,12.54750
05-04-2016,12.53980
04-04-2016,12.53660
31-03-2016,12.47120
30-03-2016,12.44290
29-03-2016,12.44100
28-03-2016,12.46960
23-03-2016,12.44530
22-03-2016,12.44460
21-03-2016,12.45400
18-03-2016,12.35530
17-03-2016,12.33100
16-03-2016,12.27090
15-03-2016,12.23340
14-03-2016,12.20250
11-03-2016,12.16320
10-03-2016,12.15880
09-03-2016,12.15170
08-03-2016,12.15770
04-03-2016,12.14360
03-03-2016,12.09250
02-03-2016,12.10360
