date,nav
08-04-2008,23.10870
07-04-2008,23.10820
04-04-2008,23.09600
03-04-2008,23.09190
02-04-2008,23.08790
31-03-2008,23.07010
28-03-2008,23.05790
27-03-2008,23.05390
26-03-2008,23.05090
25-03-2008,23.04680
24-03-2008,23.04270
19-03-2008,23.02150
18-03-2008,23.01730
17-03-2008,23.01360
14-03-2008,23.00310
13-03-2008,22.99990
12-03-2008,22.99790
11-03-2008,22.99500
10-03-2008,22.99220
07-03-2008,22.98560
05-03-2008,22.98080
04-03-2008,22.97790
03-03-2008,22.97490
29-02-2008,22.96510
28-02-2008,22.96210
27-02-2008,22.95790
26-02-2008,23.04130
25-02-2008,23.19840
22-02-2008,23.18560
21-02-2008,23.18140
20-02-2008,23.17730
19-02-2008,23.17320
18-02-2008,23.16900
15-02-2008,23.15840
14-02-2008,23.15520
13-02-2008,23.23510
12-02-2008,23.19870
11-02-2008,23.21570
08-02-2008,23.17860
07-02-2008,23.14540
06-02-2008,23.07270
05-02-2008,23.06550
04-02-2008,23.06240
01-02-2008,23.05080
31-01-2008,23.01310
30-01-2008,22.99190
29-01-2008,23.06800
28-01-2008,23.15280
25-01-2008,23.17220
24-01-2008,23.23040
23-01-2008,23.23440
22-01-2008,23.08330
21-01-2008,23.01590
18-01-2008,23.00610
17-01-2008,23.06520
16-01-2008,23.06230
15-01-2008,23.11230
14-01-2008,23.12740
11-01-2008,23.06690
10-01-2008,23.03070
09-01-2008,22.89120
08-01-2008,22.86030
07-01-2008,22.86340
04-01-2008,22.84680
03-01-2008,22.81340
02-01-2008,22.85040
01-01-2008,22.85370
31-12-2007,22.76650
28-12-2007,22.75270
27-12-2007,22.75050
26-12-2007,22.74640
24-12-2007,22.73830
20-12-2007,22.72160
19-12-2007,22.71740
18-12-2007,22.71340
17-12-2007,22.71300
14-12-2007,22.68700
13-12-2007,22.65130
12-12-2007,22.67880
11-12-2007,22.67620
10-12-2007,22.67250
07-12-2007,22.63390
06-12-2007,22.62110
05-12-2007,22.59840
04-12-2007,22.54800
03-12-2007,22.52400
30-11-2007,22.50640
29-11-2007,22.44080
28-11-2007,22.43200
27-11-2007,22.46260
26-11-2007,22.48450
23-11-2007,22.43670
22-11-2007,22.42440
21-11-2007,22.42430
20-11-2007,22.42140
19-11-2007,22.49330
16-11-2007,22.47350
15-11-2007,22.47010
14-11-2007,22.46610
13-11-2007,22.46210
12-11-2007,22.45810
08-11-2007,22.45370
07-11-2007,22.44400
06-11-2007,22.44200
05-11-2007,22.43780
02-11-2007,22.43240
01-11-2007,22.42880
31-10-2007,22.42680
30-10-2007,22.42320
29-10-2007,22.48660
26-10-2007,22.43000
25-10-2007,22.39820
24-10-2007,22.35950
23-10-2007,22.37330
22-10-2007,22.39960
19-10-2007,22.39010
18-10-2007,22.38720
17-10-2007,22.38370
16-10-2007,22.38180
15-10-2007,22.37820
12-10-2007,22.36990
11-10-2007,22.36670
10-10-2007,22.36330
09-10-2007,22.36130
08-10-2007,22.35800
05-10-2007,22.34940
04-10-2007,22.34610
03-10-2007,22.34330
01-10-2007,22.33860
28-09-2007,22.33020
27-09-2007,22.31990
26-09-2007,22.31660
25-09-2007,22.31360
24-09-2007,22.32240
21-09-2007,22.35400
20-09-2007,22.36150
19-09-2007,22.34430
18-09-2007,22.31720
17-09-2007,22.32340
14-09-2007,22.33130
13-09-2007,22.32130
12-09-2007,22.31970
11-09-2007,22.33590
10-09-2007,22.38570
07-09-2007,22.36250
06-09-2007,22.33830
05-09-2007,22.31570
04-09-2007,22.32680
03-09-2007,22.33690
31-08-2007,22.29370
30-08-2007,22.28950
29-08-2007,22.28660
28-08-2007,22.28360
27-08-2007,22.31450
24-08-2007,22.29190
23-08-2007,22.34120
22-08-2007,22.32350
21-08-2007,22.29900
17-08-2007,22.28980
16-08-2007,22.28400
14-08-2007,22.27810
13-08-2007,22.27520
10-08-2007,22.26510
09-08-2007,22.25160
08-08-2007,22.30180
07-08-2007,22.44960
06-08-2007,22.39390
03-08-2007,22.35320
02-08-2007,22.32170
01-08-2007,22.28230
31-07-2007,22.37010
30-07-2007,22.50290
27-07-2007,22.44820
26-07-2007,22.44950
25-07-2007,22.45010
24-07-2007,22.45080
23-07-2007,22.45140
20-07-2007,22.27700
19-07-2007,22.23540
18-07-2007,22.33230
17-07-2007,22.25750
16-07-2007,22.25230
13-07-2007,22.25420
12-07-2007,22.25480
11-07-2007,22.25540
10-07-2007,22.25610
09-07-2007,22.25670
06-07-2007,22.25860
05-07-2007,22.25930
04-07-2007,22.25990
03-07-2007,22.26060
29-06-2007,22.25690
28-06-2007,22.25550
27-06-2007,22.25140
26-06-2007,22.24800
25-06-2007,22.24670
22-06-2007,22.24220
21-06-2007,22.22370
20-06-2007,22.20810
19-06-2007,22.23030
18-06-2007,22.25670
15-06-2007,22.20940
14-06-2007,22.16450
13-06-2007,22.06960
12-06-2007,22.07020
11-06-2007,22.07080
08-06-2007,22.07270
07-06-2007,22.07330
06-06-2007,22.07290
05-06-2007,22.11000
04-06-2007,22.08880
01-06-2007,22.10090
31-05-2007,22.09460
30-05-2007,22.08100
29-05-2007,22.07100
28-05-2007,22.06830
25-05-2007,22.05700
24-05-2007,22.04810
23-05-2007,22.05790
22-05-2007,22.07280
21-05-2007,22.08610
18-05-2007,22.07420
17-05-2007,22.06390
16-05-2007,22.06130
15-05-2007,22.05660
14-05-2007,22.02610
11-05-2007,22.01540
10-05-2007,22.04320
09-05-2007,22.10160
08-05-2007,22.07550
07-05-2007,22.02330
04-05-2007,21.99860
03-05-2007,21.99750
30-04-2007,21.96610
27-04-2007,21.99890
26-04-2007,22.02580
25-04-2007,22.15070
24-04-2007,22.16430
23-04-2007,22.16020
20-04-2007,22.14790
19-04-2007,22.14360
18-04-2007,22.13950
17-04-2007,22.13540
16-04-2007,22.13940
13-04-2007,22.16510
12-04-2007,22.16640
11-04-2007,22.18770
10-04-2007,22.18530
09-04-2007,22.14680
05-04-2007,22.13480
04-04-2007,22.13120
03-04-2007,22.12770
30-03-2007,22.09740
29-03-2007,22.08030
28-03-2007,22.05720
26-03-2007,22.04900
23-03-2007,22.10810
22-03-2007,22.09920
21-03-2007,21.99990
20-03-2007,21.95670
16-03-2007,22.00090
15-03-2007,22.02030
14-03-2007,22.05310
13-03-2007,22.03110
12-03-2007,22.07260
09-03-2007,21.98970
08-03-2007,22.01970
07-03-2007,22.16640
06-03-2007,22.16260
05-03-2007,22.08600
02-03-2007,22.11120
01-03-2007,22.13600
28-02-2007,22.07830
27-02-2007,22.15600
26-02-2007,22.16500
23-02-2007,22.12740
22-02-2007,22.10920
21-02-2007,22.13680
20-02-2007,22.13330
19-02-2007,22.12950
15-02-2007,22.11430
14-02-2007,22.11110
13-02-2007,22.10740
12-02-2007,22.10390
09-02-2007,22.09430
08-02-2007,22.09130
07-02-2007,22.08750
06-02-2007,22.08370
05-02-2007,22.08200
02-02-2007,22.07060
31-01-2007,22.06500
29-01-2007,22.05750
25-01-2007,22.04440
24-01-2007,22.04210
23-01-2007,22.03840
22-01-2007,22.03460
19-01-2007,22.02480
18-01-2007,22.02100
17-01-2007,22.01730
16-01-2007,22.01500
15-01-2007,22.01120
12-01-2007,22.00140
11-01-2007,21.99760
10-01-2007,21.99380
09-01-2007,21.99010
08-01-2007,21.98630
05-01-2007,21.97730
04-01-2007,21.97390
03-01-2007,21.97190
02-01-2007,21.96840
29-12-2006,21.95350
28-12-2006,21.94910
27-12-2006,21.94510
26-12-2006,21.94250
22-12-2006,21.92780
21-12-2006,21.92380
20-12-2006,21.92000
19-12-2006,21.91620
18-12-2006,21.91390
15-12-2006,21.90260
14-12-2006,21.89880
13-12-2006,21.89650
12-12-2006,21.89270
11-12-2006,21.88890
08-12-2006,21.87980
07-12-2006,21.87620
06-12-2006,21.87260
05-12-2006,21.87080
04-12-2006,21.86700
01-12-2006,21.85820
30-11-2006,21.85520
29-11-2006,21.87990
28-11-2006,21.90140
27-11-2006,21.89850
24-11-2006,21.87200
23-11-2006,21.87030
22-11-2006,21.86120
21-11-2006,21.85840
20-11-2006,21.85550
17-11-2006,21.84490
16-11-2006,21.84130
15-11-2006,21.83790
14-11-2006,21.83410
13-11-2006,21.83070
10-11-2006,21.82080
09-11-2006,21.81750
08-11-2006,21.81410
07-11-2006,21.81080
06-11-2006,21.80770
03-11-2006,21.79840
02-11-2006,21.79530
01-11-2006,21.79240
31-10-2006,21.78910
30-10-2006,21.78610
27-10-2006,21.77700
26-10-2006,21.77400
