date,nav
11-12-2015,10.88380
10-12-2015,10.88210
09-12-2015,10.88030
08-12-2015,10.87850
07-12-2015,10.87660
04-12-2015,10.87150
03-12-2015,10.86980
02-12-2015,10.86800
01-12-2015,10.86620
30-11-2015,10.86430
27-11-2015,10.85880
26-11-2015,10.85700
24-11-2015,10.85320
23-11-2015,10.85130
20-11-2015,10.84580
19-11-2015,10.84390
18-11-2015,10.84200
17-11-2015,10.84020
16-11-2015,10.83820
13-11-2015,10.83260
10-11-2015,10.82690
09-11-2015,10.82500
06-11-2015,10.81950
05-11-2015,10.81770
04-11-2015,10.81590
03-11-2015,10.81410
02-11-2015,10.81230
30-10-2015,10.80680
29-10-2015,10.80500
28-10-2015,10.80320
27-10-2015,10.80130
26-10-2015,10.79950
23-10-2015,10.79390
21-10-2015,10.79030
20-10-2015,10.78850
19-10-2015,10.78660
16-10-2015,10.78130
15-10-2015,10.77950
14-10-2015,10.77770
13-10-2015,10.77580
12-10-2015,10.77400
09-10-2015,10.76880
08-10-2015,10.76710
07-10-2015,10.76520
06-10-2015,10.76340
05-10-2015,10.76160
01-10-2015,10.75470
30-09-2015,10.75310
29-09-2015,10.75090
28-09-2015,10.74900
24-09-2015,10.74090
23-09-2015,10.73890
22-09-2015,10.73690
21-09-2015,10.73500
18-09-2015,10.72930
16-09-2015,10.72550
15-09-2015,10.72350
14-09-2015,10.72150
11-09-2015,10.71580
10-09-2015,10.71400
09-09-2015,10.71190
08-09-2015,10.70990
07-09-2015,10.70800
04-09-2015,10.70220
03-09-2015,10.70020
02-09-2015,10.69830
01-09-2015,10.69640
31-08-2015,10.69440
28-08-2015,10.68190
27-08-2015,10.67990
26-08-2015,10.67790
25-08-2015,10.67590
24-08-2015,10.67390
21-08-2015,10.66790
20-08-2015,10.66600
19-08-2015,10.66400
17-08-2015,10.66000
14-08-2015,10.65400
13-08-2015,10.65200
12-08-2015,10.65000
11-08-2015,10.64800
10-08-2015,10.64600
07-08-2015,10.64010
06-08-2015,10.63810
05-08-2015,10.63610
04-08-2015,10.63410
03-08-2015,10.63210
31-07-2015,10.62620
30-07-2015,10.62420
29-07-2015,10.62220
28-07-2015,10.62020
27-07-2015,10.61820
24-07-2015,10.61230
23-07-2015,10.61030
22-07-2015,10.60830
21-07-2015,10.60630
20-07-2015,10.60430
17-07-2015,10.59830
16-07-2015,10.59640
15-07-2015,10.59440
14-07-2015,10.59240
13-07-2015,10.59040
10-07-2015,10.58450
09-07-2015,10.58260
08-07-2015,10.58060
07-07-2015,10.57890
06-07-2015,10.57690
03-07-2015,10.56970
02-07-2015,10.56780
01-07-2015,10.56470
30-06-2015,10.56230
29-06-2015,10.55930
26-06-2015,10.55380
25-06-2015,10.55230
24-06-2015,10.55040
23-06-2015,10.54820
22-06-2015,10.54610
19-06-2015,10.53950
18-06-2015,10.53710
17-06-2015,10.53480
16-06-2015,10.53250
15-06-2015,10.53100
12-06-2015,10.52480
11-06-2015,10.52330
10-06-2015,10.52120
09-06-2015,10.51950
08-06-2015,10.51740
05-06-2015,10.51170
04-06-2015,10.50970
03-06-2015,10.50800
02-06-2015,10.50560
01-06-2015,10.50140
29-05-2015,10.49490
28-05-2015,10.49240
27-05-2015,10.49010
26-05-2015,10.48840
25-05-2015,10.48590
22-05-2015,10.47940
21-05-2015,10.47740
20-05-2015,10.47470
19-05-2015,10.47200
18-05-2015,10.47010
15-05-2015,10.46340
14-05-2015,10.46140
13-05-2015,10.45900
12-05-2015,10.45730
11-05-2015,10.45520
08-05-2015,10.44910
07-05-2015,10.44640
06-05-2015,10.44410
05-05-2015,10.44270
30-04-2015,10.43370
29-04-2015,10.43220
28-04-2015,10.42980
27-04-2015,10.42780
24-04-2015,10.42200
23-04-2015,10.41960
22-04-2015,10.41800
21-04-2015,10.41590
20-04-2015,10.41380
17-04-2015,10.40790
16-04-2015,10.40640
15-04-2015,10.40470
13-04-2015,10.40050
10-04-2015,10.39520
09-04-2015,10.39240
08-04-2015,10.39010
07-04-2015,10.38850
06-04-2015,10.38760
31-03-2015,10.37800
30-03-2015,10.36110
27-03-2015,10.35320
26-03-2015,10.35100
25-03-2015,10.34980
24-03-2015,10.34760
23-03-2015,10.34630
20-03-2015,10.34060
19-03-2015,10.33850
18-03-2015,10.33610
