date,nav
20-09-2024,72.91140
19-09-2024,72.89580
17-09-2024,72.78820
16-09-2024,72.84260
13-09-2024,72.69430
12-09-2024,72.64370
11-09-2024,72.56540
10-09-2024,72.46740
09-09-2024,72.44040
06-09-2024,72.39350
05-09-2024,72.39680
04-09-2024,72.39030
03-09-2024,72.31810
02-09-2024,72.27260
30-08-2024,72.27610
29-08-2024,72.26540
28-08-2024,72.26260
27-08-2024,72.26290
26-08-2024,72.28670
23-08-2024,72.24740
22-08-2024,72.25670
21-08-2024,72.24100
20-08-2024,72.21780
19-08-2024,72.14090
16-08-2024,72.04780
14-08-2024,72.03920
13-08-2024,71.94490
12-08-2024,71.93460
09-08-2024,71.90270
08-08-2024,71.91100
07-08-2024,71.94760
06-08-2024,71.89860
05-08-2024,71.90700
02-08-2024,71.74840
01-08-2024,71.68120
31-07-2024,71.65470
30-07-2024,71.62940
29-07-2024,71.72280
26-07-2024,71.65650
25-07-2024,71.58920
24-07-2024,71.51470
23-07-2024,71.48210
22-07-2024,71.48190
19-07-2024,71.44150
18-07-2024,71.40790
16-07-2024,71.37690
15-07-2024,71.29830
12-07-2024,71.23960
11-07-2024,71.24920
10-07-2024,71.25400
09-07-2024,71.20100
08-07-2024,71.18150
05-07-2024,71.12160
04-07-2024,71.13130
03-07-2024,71.13390
02-07-2024,71.09030
01-07-2024,71.04790
28-06-2024,71.03170
27-06-2024,71.05710
26-06-2024,71.05280
25-06-2024,71.07700
24-06-2024,71.12670
21-06-2024,71.09090
20-06-2024,71.02680
19-06-2024,71.01750
18-06-2024,70.92250
14-06-2024,70.85020
13-06-2024,70.81020
12-06-2024,70.70230
11-06-2024,70.68690
10-06-2024,70.61520
07-06-2024,70.62040
06-06-2024,70.59950
05-06-2024,70.48380
04-06-2024,70.36980
03-06-2024,70.75510
31-05-2024,70.53710
30-05-2024,70.49410
29-05-2024,70.46090
28-05-2024,70.52480
27-05-2024,70.56700
24-05-2024,70.50280
22-05-2024,70.45780
21-05-2024,70.30520
17-05-2024,70.20300
16-05-2024,70.25250
15-05-2024,70.17470
14-05-2024,70.08480
13-05-2024,70.02220
10-05-2024,69.95440
09-05-2024,69.88830
08-05-2024,69.86480
07-05-2024,69.89310
06-05-2024,69.98460
03-05-2024,69.78190
02-05-2024,69.68010
30-04-2024,69.58320
29-04-2024,69.57950
26-04-2024,69.53070
25-04-2024,69.51790
24-04-2024,69.55940
23-04-2024,69.58340
22-04-2024,69.46830
19-04-2024,69.34280
18-04-2024,69.49840
16-04-2024,69.44350
15-04-2024,69.51200
12-04-2024,69.46130
10-04-2024,69.69510
08-04-2024,69.54900
05-04-2024,69.68940
04-04-2024,69.72150
03-04-2024,69.67840
02-04-2024,69.65970
31-03-2024,69.85410
28-03-2024,69.83480
27-03-2024,69.64000
26-03-2024,69.55870
22-03-2024,69.55810
21-03-2024,69.64330
20-03-2024,69.49710
19-03-2024,69.47180
18-03-2024,69.53330
15-03-2024,69.60750
14-03-2024,69.64070
13-03-2024,69.64530
12-03-2024,69.67630
11-03-2024,69.68800
07-03-2024,69.55740
06-03-2024,69.49390
05-03-2024,69.45980
04-03-2024,69.45250
