date,nav
20-09-2024,10.79700
19-09-2024,10.79820
17-09-2024,10.77580
16-09-2024,10.78420
13-09-2024,10.75640
12-09-2024,10.74460
11-09-2024,10.72890
10-09-2024,10.70520
09-09-2024,10.69580
06-09-2024,10.68720
05-09-2024,10.69370
04-09-2024,10.69100
03-09-2024,10.67010
02-09-2024,10.65430
30-08-2024,10.65860
29-08-2024,10.66130
28-08-2024,10.75940
27-08-2024,10.76120
26-08-2024,10.77250
23-08-2024,10.77140
22-08-2024,10.77690
21-08-2024,10.77590
20-08-2024,10.77160
19-08-2024,10.74360
16-08-2024,10.71230
14-08-2024,10.70750
13-08-2024,10.68460
12-08-2024,10.68570
09-08-2024,10.67510
08-08-2024,10.68110
07-08-2024,10.69340
06-08-2024,10.68130
05-08-2024,10.68060
02-08-2024,10.64270
01-08-2024,10.63160
31-07-2024,10.63010
30-07-2024,10.62330
29-07-2024,10.66240
26-07-2024,10.74380
25-07-2024,10.73880
24-07-2024,10.72810
23-07-2024,10.72320
22-07-2024,10.72840
19-07-2024,10.71220
18-07-2024,10.70640
16-07-2024,10.70580
15-07-2024,10.68910
12-07-2024,10.68300
11-07-2024,10.68540
10-07-2024,10.68800
09-07-2024,10.67910
08-07-2024,10.67450
05-07-2024,10.66220
04-07-2024,10.67440
03-07-2024,10.67660
02-07-2024,10.66750
01-07-2024,10.65710
30-06-2024,10.79100
28-06-2024,10.78750
27-06-2024,10.80020
26-06-2024,10.80100
25-06-2024,10.80300
24-06-2024,10.82010
21-06-2024,10.81090
20-06-2024,10.78740
19-06-2024,10.78390
18-06-2024,10.75440
14-06-2024,10.73920
13-06-2024,10.72060
12-06-2024,10.69830
11-06-2024,10.69680
10-06-2024,10.68170
07-06-2024,10.67630
06-06-2024,10.67300
05-06-2024,10.64570
04-06-2024,10.62430
03-06-2024,10.71430
31-05-2024,10.66160
30-05-2024,10.65750
29-05-2024,10.65760
28-05-2024,10.83040
27-05-2024,10.83960
24-05-2024,10.82070
22-05-2024,10.81150
21-05-2024,10.77110
17-05-2024,10.75540
16-05-2024,10.76940
15-05-2024,10.76080
14-05-2024,10.74190
13-05-2024,10.72450
10-05-2024,10.71020
09-05-2024,10.69430
08-05-2024,10.68680
07-05-2024,10.68770
06-05-2024,10.70420
03-05-2024,10.66390
02-05-2024,10.63430
30-04-2024,10.61190
29-04-2024,10.61850
26-04-2024,10.61080
25-04-2024,10.60890
24-04-2024,10.61480
23-04-2024,10.62560
22-04-2024,10.60750
19-04-2024,10.58310
18-04-2024,10.60870
16-04-2024,10.61050
15-04-2024,10.62500
12-04-2024,10.61450
10-04-2024,10.66260
08-04-2024,10.63600
05-04-2024,10.66330
04-04-2024,10.67980
03-04-2024,10.67470
02-04-2024,10.67490
31-03-2024,10.82070
28-03-2024,10.81740
27-03-2024,10.77190
26-03-2024,10.75430
22-03-2024,10.75480
21-03-2024,10.78160
20-03-2024,10.74330
19-03-2024,10.74320
18-03-2024,10.74400
15-03-2024,10.77210
14-03-2024,10.78120
13-03-2024,10.78340
12-03-2024,10.79630
11-03-2024,10.80950
07-03-2024,10.79170
06-03-2024,10.77350
05-03-2024,10.77400
04-03-2024,10.76970
01-03-2024,10.75940
29-02-2024,10.72790
28-02-2024,10.94560
27-02-2024,10.94090
26-02-2024,10.95330
23-02-2024,10.94610
22-02-2024,10.95410
21-02-2024,10.96210
20-02-2024,10.95200
16-02-2024,10.92560
15-02-2024,10.94310
14-02-2024,10.90070
13-02-2024,10.90850
12-02-2024,10.91140
09-02-2024,10.89980
08-02-2024,10.91550
07-02-2024,10.91720
06-02-2024,10.89470
05-02-2024,10.88690
02-02-2024,10.89720
01-02-2024,10.86560
31-01-2024,10.76890
30-01-2024,10.75050
29-01-2024,10.73410
25-01-2024,10.80260
24-01-2024,10.78350
23-01-2024,10.77810
19-01-2024,10.75520
18-01-2024,10.74940
17-01-2024,10.76740
16-01-2024,10.77640
15-01-2024,10.77460
12-01-2024,10.73480
11-01-2024,10.74200
10-01-2024,10.73120
09-01-2024,10.71510
08-01-2024,10.70490
05-01-2024,10.66620
04-01-2024,10.67230
03-01-2024,10.67720
02-01-2024,10.67950
01-01-2024,10.68960
31-12-2023,10.71280
29-12-2023,10.71130
28-12-2023,10.79290
27-12-2023,10.79430
26-12-2023,10.80520
22-12-2023,10.79440
21-12-2023,10.80440
20-12-2023,10.81830
19-12-2023,10.81430
18-12-2023,10.81660
15-12-2023,10.80560
14-12-2023,10.77740
13-12-2023,10.72780
12-12-2023,10.71190
11-12-2023,10.70460
08-12-2023,10.70090
07-12-2023,10.71390
06-12-2023,10.70290
05-12-2023,10.68490
04-12-2023,10.67510
01-12-2023,10.65540
30-11-2023,10.67340
29-11-2023,10.68730
28-11-2023,10.73710
24-11-2023,10.73660
23-11-2023,10.76160
22-11-2023,10.76250
21-11-2023,10.75630
20-11-2023,10.76150
17-11-2023,10.77950
16-11-2023,10.77340
15-11-2023,10.77090
13-11-2023,10.72670
10-11-2023,10.70830
09-11-2023,10.73890
08-11-2023,10.73700
07-11-2023,10.72150
06-11-2023,10.70760
03-11-2023,10.69370
02-11-2023,10.68020
01-11-2023,10.65000
31-10-2023,10.65080
30-10-2023,10.64110
27-10-2023,10.64330
26-10-2023,10.63050
25-10-2023,10.64420
23-10-2023,10.61580
20-10-2023,10.62020
19-10-2023,10.61860
18-10-2023,10.62580
17-10-2023,10.63410
16-10-2023,10.62870
13-10-2023,10.62560
12-10-2023,10.62460
11-10-2023,10.62240
