date,nav
09-10-2014,16.69000
08-10-2014,16.50000
07-10-2014,16.54000
01-10-2014,16.68000
30-09-2014,16.70000
29-09-2014,16.72000
26-09-2014,16.72000
25-09-2014,16.59000
24-09-2014,16.81000
23-09-2014,16.87000
22-09-2014,17.05000
19-09-2014,16.98000
18-09-2014,16.99000
17-09-2014,16.73000
16-09-2014,16.60000
15-09-2014,16.80000
12-09-2014,16.88000
11-09-2014,16.84000
10-09-2014,16.85000
09-09-2014,16.91000
08-09-2014,16.95000
05-09-2014,16.80000
04-09-2014,16.81000
03-09-2014,16.87000
02-09-2014,16.78000
01-09-2014,16.70000
28-08-2014,16.56000
27-08-2014,16.59000
26-08-2014,16.53000
25-08-2014,16.57000
22-08-2014,16.62000
21-08-2014,16.60000
20-08-2014,16.57000
19-08-2014,16.60000
18-08-2014,16.56000
14-08-2014,16.42000
13-08-2014,16.31000
12-08-2014,16.34000
11-08-2014,16.22000
08-08-2014,16.15000
07-08-2014,16.27000
06-08-2014,16.30000
05-08-2014,16.43000
04-08-2014,16.32000
01-08-2014,16.21000
31-07-2014,16.34000
30-07-2014,16.43000
28-07-2014,16.33000
25-07-2014,16.37000
24-07-2014,16.47000
23-07-2014,16.42000
22-07-2014,16.39000
21-07-2014,16.28000
18-07-2014,16.24000
17-07-2014,16.21000
16-07-2014,16.16000
15-07-2014,15.99000
14-07-2014,15.84000
11-07-2014,15.84000
10-07-2014,16.04000
09-07-2014,16.06000
08-07-2014,16.15000
07-07-2014,16.48000
04-07-2014,16.38000
03-07-2014,16.32000
02-07-2014,16.32000
01-07-2014,16.18000
30-06-2014,16.14000
27-06-2014,15.92000
26-06-2014,15.88000
25-06-2014,16.01000
24-06-2014,16.03000
23-06-2014,15.87000
20-06-2014,15.87000
19-06-2014,15.94000
18-06-2014,15.98000
17-06-2014,16.12000
16-06-2014,15.94000
13-06-2014,15.95000
12-06-2014,16.16000
11-06-2014,16.15000
10-06-2014,16.22000
09-06-2014,16.20000
06-06-2014,16.11000
05-06-2014,15.93000
04-06-2014,15.80000
03-06-2014,15.77000
02-06-2014,15.67000
30-05-2014,15.44000
29-05-2014,15.47000
28-05-2014,15.60000
27-05-2014,15.61000
26-05-2014,15.66000
