date,nav
22-09-2024,38.85980
20-09-2024,38.84500
19-09-2024,38.83740
18-09-2024,38.82950
17-09-2024,38.82230
16-09-2024,38.81460
15-09-2024,38.80740
13-09-2024,38.79290
12-09-2024,38.78560
11-09-2024,38.77830
10-09-2024,38.77120
09-09-2024,38.76450
08-09-2024,38.75700
05-09-2024,38.73610
04-09-2024,38.72950
03-09-2024,38.72240
02-09-2024,38.71530
01-09-2024,38.70770
30-08-2024,38.69320
29-08-2024,38.68600
28-08-2024,38.67900
27-08-2024,38.67240
26-08-2024,38.66520
25-08-2024,38.65810
23-08-2024,38.64390
22-08-2024,38.63660
21-08-2024,38.62940
20-08-2024,38.62240
19-08-2024,38.61490
18-08-2024,38.60780
16-08-2024,38.59370
15-08-2024,38.58630
14-08-2024,38.57900
13-08-2024,38.57180
12-08-2024,38.56490
11-08-2024,38.55800
09-08-2024,38.54390
08-08-2024,38.53650
07-08-2024,38.52950
06-08-2024,38.52180
05-08-2024,38.51510
04-08-2024,38.50760
02-08-2024,38.49340
01-08-2024,38.48670
31-07-2024,38.47940
30-07-2024,38.47230
29-07-2024,38.46480
28-07-2024,38.45780
26-07-2024,38.44370
25-07-2024,38.43720
24-07-2024,38.42990
23-07-2024,38.42290
22-07-2024,38.41620
21-07-2024,38.40880
19-07-2024,38.39470
18-07-2024,38.38740
17-07-2024,38.37990
16-07-2024,38.37290
15-07-2024,38.36620
14-07-2024,38.35800
12-07-2024,38.34380
11-07-2024,38.33630
10-07-2024,38.32840
09-07-2024,38.32120
08-07-2024,38.31390
07-07-2024,38.30760
05-07-2024,38.29340
04-07-2024,38.28750
03-07-2024,38.28070
02-07-2024,38.27280
01-07-2024,38.26210
30-06-2024,38.25100
28-06-2024,38.23610
27-06-2024,38.22690
26-06-2024,38.22020
25-06-2024,38.21430
24-06-2024,38.20920
23-06-2024,38.20260
21-06-2024,38.18850
20-06-2024,38.18110
19-06-2024,38.17390
18-06-2024,38.16680
17-06-2024,38.15970
14-06-2024,38.13840
13-06-2024,38.13180
12-06-2024,38.12520
11-06-2024,38.11780
10-06-2024,38.11040
09-06-2024,38.10320
07-06-2024,38.08930
06-06-2024,38.08200
05-06-2024,38.07420
04-06-2024,38.06670
03-06-2024,38.06010
02-06-2024,38.05230
31-05-2024,38.03810
30-05-2024,38.03110
29-05-2024,38.02390
28-05-2024,38.01660
27-05-2024,38.00960
26-05-2024,38.00250
24-05-2024,37.98840
23-05-2024,37.98150
22-05-2024,37.97430
21-05-2024,37.96690
20-05-2024,37.95690
17-05-2024,37.93560
