date,nav
20-09-2024,11.69380
19-09-2024,11.68780
17-09-2024,11.66820
16-09-2024,11.66800
13-09-2024,11.66040
12-09-2024,11.64720
11-09-2024,11.64450
10-09-2024,11.63880
09-09-2024,11.63780
06-09-2024,11.63090
05-09-2024,11.63040
04-09-2024,11.62810
03-09-2024,11.62620
02-09-2024,11.61890
30-08-2024,11.61750
29-08-2024,11.61410
28-08-2024,11.61260
27-08-2024,11.60630
26-08-2024,11.60250
23-08-2024,11.59400
22-08-2024,11.59080
21-08-2024,11.58730
20-08-2024,11.58230
19-08-2024,11.57830
16-08-2024,11.57310
14-08-2024,11.57080
13-08-2024,11.56560
12-08-2024,11.56620
09-08-2024,11.56320
08-08-2024,11.56010
07-08-2024,11.56020
06-08-2024,11.55790
05-08-2024,11.55490
02-08-2024,11.54590
01-08-2024,11.54110
31-07-2024,11.53600
30-07-2024,11.53930
29-07-2024,11.54370
26-07-2024,11.53120
25-07-2024,11.51990
24-07-2024,11.50870
23-07-2024,11.50310
22-07-2024,11.49960
19-07-2024,11.49530
18-07-2024,11.48800
16-07-2024,11.48390
15-07-2024,11.48150
12-07-2024,11.47390
11-07-2024,11.46660
10-07-2024,11.46380
09-07-2024,11.46040
08-07-2024,11.45640
05-07-2024,11.45150
04-07-2024,11.44630
03-07-2024,11.44290
02-07-2024,11.43760
01-07-2024,11.43400
30-06-2024,11.43290
28-06-2024,11.42890
27-06-2024,11.42300
26-06-2024,11.42260
25-06-2024,11.42470
24-06-2024,11.42350
21-06-2024,11.41700
20-06-2024,11.41630
19-06-2024,11.41470
18-06-2024,11.40970
14-06-2024,11.40370
13-06-2024,11.39990
12-06-2024,11.39590
11-06-2024,11.39230
10-06-2024,11.39020
07-06-2024,11.37960
06-06-2024,11.37550
05-06-2024,11.36590
04-06-2024,11.36090
03-06-2024,11.38350
31-05-2024,11.37000
30-05-2024,11.36830
29-05-2024,11.36790
28-05-2024,11.36670
27-05-2024,11.36720
24-05-2024,11.35790
22-05-2024,11.35180
21-05-2024,11.34820
17-05-2024,11.33670
16-05-2024,11.33800
15-05-2024,11.32750
14-05-2024,11.32280
13-05-2024,11.31850
10-05-2024,11.31100
09-05-2024,11.30740
08-05-2024,11.30860
07-05-2024,11.30980
06-05-2024,11.30620
03-05-2024,11.29440
02-05-2024,11.29060
30-04-2024,11.28330
29-04-2024,11.28230
26-04-2024,11.27720
25-04-2024,11.27650
24-04-2024,11.27390
23-04-2024,11.26590
22-04-2024,11.26640
19-04-2024,11.25100
18-04-2024,11.26370
16-04-2024,11.26020
15-04-2024,11.27080
12-04-2024,11.26110
10-04-2024,11.27260
08-04-2024,11.26060
05-04-2024,11.26470
04-04-2024,11.27080
03-04-2024,11.26450
02-04-2024,11.26120
31-03-2024,12.10860
28-03-2024,12.10240
27-03-2024,12.08920
26-03-2024,12.08090
22-03-2024,12.07490
21-03-2024,12.08920
20-03-2024,12.08170
19-03-2024,12.07630
18-03-2024,12.07670
15-03-2024,12.07600
14-03-2024,12.07420
