date,nav
09-10-2014,11.87380
08-10-2014,11.90690
07-10-2014,11.87960
01-10-2014,11.85440
30-09-2014,11.83260
29-09-2014,11.84060
26-09-2014,11.85940
25-09-2014,12.03450
24-09-2014,12.03360
23-09-2014,12.03660
22-09-2014,12.04990
19-09-2014,12.03490
18-09-2014,12.03350
17-09-2014,12.00820
16-09-2014,12.00390
15-09-2014,11.99980
12-09-2014,11.99290
11-09-2014,11.98900
10-09-2014,11.96830
09-09-2014,11.97720
08-09-2014,11.98240
05-09-2014,11.96740
04-09-2014,11.96560
03-09-2014,11.96360
02-09-2014,11.96320
01-09-2014,11.94680
28-08-2014,11.93830
27-08-2014,11.93650
26-08-2014,11.93380
25-08-2014,11.93120
22-08-2014,11.94340
21-08-2014,11.94170
20-08-2014,11.95420
19-08-2014,11.92450
14-08-2014,11.91610
13-08-2014,11.89900
12-08-2014,11.86450
11-08-2014,11.87380
08-08-2014,11.84800
07-08-2014,11.84900
06-08-2014,11.84470
05-08-2014,11.86260
04-08-2014,11.91140
01-08-2014,11.89480
31-07-2014,11.90080
30-07-2014,11.89780
28-07-2014,11.90510
25-07-2014,11.91750
24-07-2014,11.93550
23-07-2014,11.93250
22-07-2014,11.91990
21-07-2014,11.90970
18-07-2014,11.86950
17-07-2014,11.88050
16-07-2014,11.87610
15-07-2014,11.86910
14-07-2014,11.83730
11-07-2014,11.84550
10-07-2014,11.86220
09-07-2014,11.87560
08-07-2014,11.87480
07-07-2014,11.88940
04-07-2014,11.89130
03-07-2014,11.88870
02-07-2014,11.88270
30-06-2014,11.83270
27-06-2014,11.82800
26-06-2014,11.82940
25-06-2014,11.89850
24-06-2014,11.89650
23-06-2014,11.87250
20-06-2014,11.89550
19-06-2014,11.91430
18-06-2014,11.91990
17-06-2014,11.94740
16-06-2014,11.91460
13-06-2014,11.93670
12-06-2014,11.95320
11-06-2014,11.96470
10-06-2014,11.95220
09-06-2014,11.95980
06-06-2014,11.97230
05-06-2014,11.93880
04-06-2014,11.89220
03-06-2014,11.88290
02-06-2014,11.84390
30-05-2014,11.84540
29-05-2014,11.81680
28-05-2014,11.79400
27-05-2014,11.79320
26-05-2014,11.78190
23-05-2014,11.80130
22-05-2014,11.76310
21-05-2014,11.74040
20-05-2014,11.70630
19-05-2014,11.69360
16-05-2014,11.68660
15-05-2014,11.69070
13-05-2014,11.68230
12-05-2014,11.70100
09-05-2014,11.68800
08-05-2014,11.67740
07-05-2014,11.66270
06-05-2014,11.66760
05-05-2014,11.66900
02-05-2014,11.63420
30-04-2014,11.62180
29-04-2014,11.62170
28-04-2014,11.60400
25-04-2014,11.59460
23-04-2014,11.59730
22-04-2014,11.59250
21-04-2014,11.58230
17-04-2014,11.55770
16-04-2014,11.52030
15-04-2014,11.51810
11-04-2014,11.50260
10-04-2014,11.47890
09-04-2014,11.47090
07-04-2014,11.45240
04-04-2014,11.45000
03-04-2014,11.47050
02-04-2014,11.48600
28-03-2014,11.53610
27-03-2014,11.50510
26-03-2014,11.50930
25-03-2014,11.50660
24-03-2014,11.50420
21-03-2014,11.48670
20-03-2014,11.52800
19-03-2014,11.53210
18-03-2014,11.51940
14-03-2014,11.50560
13-03-2014,11.50540
12-03-2014,11.50710
11-03-2014,11.49770
10-03-2014,11.47550
07-03-2014,11.46310
06-03-2014,11.46060
05-03-2014,11.44700
04-03-2014,11.43930
03-03-2014,11.43070
28-02-2014,11.43170
26-02-2014,11.41570
25-02-2014,11.41820
24-02-2014,11.41970
21-02-2014,11.42830
20-02-2014,11.42520
18-02-2014,11.42410
