date,nav
20-09-2024,4241.52870
19-09-2024,4196.76160
18-09-2024,4208.45840
17-09-2024,4211.74090
16-09-2024,4207.34710
13-09-2024,4187.22540
12-09-2024,4170.47460
11-09-2024,4117.71060
10-09-2024,4130.91310
09-09-2024,4096.61570
06-09-2024,4105.24650
05-09-2024,4154.50720
04-09-2024,4129.95230
03-09-2024,4126.47730
02-09-2024,4111.81900
30-08-2024,4113.16460
29-08-2024,4085.52820
28-08-2024,4093.43390
27-08-2024,4095.38170
26-08-2024,4088.26360
23-08-2024,4073.95690
22-08-2024,4077.94990
21-08-2024,4055.76880
20-08-2024,4034.38440
19-08-2024,3990.45800
16-08-2024,3979.17030
14-08-2024,3922.35130
13-08-2024,3928.82380
12-08-2024,3961.04510
09-08-2024,3971.24880
08-08-2024,3932.68460
07-08-2024,3940.79340
06-08-2024,3868.13590
05-08-2024,3895.63050
02-08-2024,4028.35680
01-08-2024,4060.81590
31-07-2024,4085.87710
30-07-2024,4058.86410
29-07-2024,4054.70400
26-07-2024,4025.81070
25-07-2024,3958.79090
24-07-2024,3961.33020
23-07-2024,3919.61250
22-07-2024,3935.99500
19-07-2024,3895.82960
18-07-2024,3973.16800
16-07-2024,4003.65320
15-07-2024,4008.32910
12-07-2024,3978.84740
11-07-2024,3983.69960
10-07-2024,3971.37810
09-07-2024,3972.05450
08-07-2024,3950.52460
05-07-2024,3959.18000
04-07-2024,3941.99310
03-07-2024,3925.89310
02-07-2024,3899.27020
01-07-2024,3919.11880
28-06-2024,3873.83810
27-06-2024,3848.29430
26-06-2024,3842.60300
25-06-2024,3852.94110
24-06-2024,3859.09250
21-06-2024,3837.60040
20-06-2024,3858.30890
19-06-2024,3842.47220
18-06-2024,3879.74080
14-06-2024,3858.32480
13-06-2024,3815.42530
12-06-2024,3781.06570
11-06-2024,3750.94260
10-06-2024,3726.00750
07-06-2024,3689.23400
06-06-2024,3632.71610
05-06-2024,3558.98520
04-06-2024,3403.42110
03-06-2024,3676.15260
31-05-2024,3567.04870
30-05-2024,3568.91640
29-05-2024,3609.92950
28-05-2024,3627.76390
27-05-2024,3645.65110
24-05-2024,3616.68210
23-05-2024,3601.76770
22-05-2024,3589.67310
21-05-2024,3595.14570
17-05-2024,3579.63560
16-05-2024,3529.84430
15-05-2024,3486.94870
14-05-2024,3452.06450
13-05-2024,3426.81660
10-05-2024,3424.69670
09-05-2024,3399.82540
08-05-2024,3467.07680
07-05-2024,3429.30420
06-05-2024,3492.68320
03-05-2024,3518.44380
02-05-2024,3520.69320
30-04-2024,3485.72870
29-04-2024,3467.99370
26-04-2024,3442.24460
25-04-2024,3417.86490
24-04-2024,3401.59700
23-04-2024,3375.82640
22-04-2024,3353.42420
19-04-2024,3319.96860
18-04-2024,3329.48500
16-04-2024,3336.07320
15-04-2024,3337.49520
12-04-2024,3379.12840
10-04-2024,3401.03520
09-04-2024,3371.04170
08-04-2024,3384.76310
05-04-2024,3379.78470
04-04-2024,3366.78480
03-04-2024,3362.57670
02-04-2024,3348.06740
01-04-2024,3318.61340
31-03-2024,3262.55630
28-03-2024,3262.97150
27-03-2024,3241.23590
26-03-2024,3223.59070
22-03-2024,3186.59540
21-03-2024,3166.00580
20-03-2024,3096.07210
19-03-2024,3096.39730
18-03-2024,3130.90190
15-03-2024,3139.37440
14-03-2024,3148.63730
13-03-2024,3098.77890
12-03-2024,3218.42170
11-03-2024,3254.36460
07-03-2024,3263.84020
06-03-2024,3252.97370
05-03-2024,3262.27100
04-03-2024,3279.22730
01-03-2024,3263.00420
29-02-2024,3239.79490
28-02-2024,3230.46450
27-02-2024,3278.90580
26-02-2024,3284.84960
23-02-2024,3299.79770
22-02-2024,3285.83870
21-02-2024,3265.28730
20-02-2024,3298.39000
19-02-2024,3301.55470
16-02-2024,3291.50900
15-02-2024,3264.15040
14-02-2024,3242.18950
13-02-2024,3234.49190
12-02-2024,3227.11030
09-02-2024,3288.94570
08-02-2024,3319.71720
07-02-2024,3319.13060
06-02-2024,3296.24630
05-02-2024,3266.08270
02-02-2024,3267.97750
01-02-2024,3263.48420
31-01-2024,3269.32840
30-01-2024,3219.76690
29-01-2024,3233.54400
25-01-2024,3191.78080
24-01-2024,3209.11050
23-01-2024,3148.72420
19-01-2024,3227.57980
18-01-2024,3185.73580
17-01-2024,3200.59780
16-01-2024,3237.16960
15-01-2024,3262.17780
12-01-2024,3256.51380
11-01-2024,3251.67080
10-01-2024,3240.07700
09-01-2024,3239.05720
08-01-2024,3243.08670
05-01-2024,3278.41280
04-01-2024,3269.12160
03-01-2024,3219.97620
02-01-2024,3216.60340
01-01-2024,3227.49040
29-12-2023,3213.48730
28-12-2023,3184.60910
27-12-2023,3170.27170
26-12-2023,3154.09350
22-12-2023,3132.86000
21-12-2023,3116.98790
20-12-2023,3082.91290
19-12-2023,3161.44720
18-12-2023,3163.36410
15-12-2023,3152.36110
14-12-2023,3153.00710
13-12-2023,3124.52850
12-12-2023,3090.41330
11-12-2023,3103.09230
08-12-2023,3081.02810
07-12-2023,3085.00900
06-12-2023,3065.95800
05-12-2023,3060.43440
04-12-2023,3052.96190
01-12-2023,3015.15470
30-11-2023,2978.24530
29-11-2023,2945.81410
28-11-2023,2921.60620
24-11-2023,2907.08090
23-11-2023,2898.02820
22-11-2023,2900.02410
21-11-2023,2898.77010
20-11-2023,2897.52590
17-11-2023,2892.14100
