date,nav
16-09-2022,101.42880
15-09-2022,101.41980
14-09-2022,101.40830
13-09-2022,101.39870
12-09-2022,101.38650
11-09-2022,101.37590
09-09-2022,101.34640
08-09-2022,101.33270
07-09-2022,101.31980
06-09-2022,101.30520
05-09-2022,101.28830
04-09-2022,101.27000
02-09-2022,101.24050
01-09-2022,101.22260
31-08-2022,101.20720
30-08-2022,101.19230
29-08-2022,101.17930
28-08-2022,101.16400
26-08-2022,101.13450
25-08-2022,101.12040
24-08-2022,101.10650
23-08-2022,101.09220
22-08-2022,101.07870
21-08-2022,101.06350
19-08-2022,101.03430
18-08-2022,101.01760
17-08-2022,101.00100
16-08-2022,100.98440
12-08-2022,100.92570
11-08-2022,100.91410
10-08-2022,100.89780
09-08-2022,100.88230
08-08-2022,100.86770
07-08-2022,100.85480
05-08-2022,100.82560
04-08-2022,100.81450
03-08-2022,100.80140
02-08-2022,100.78580
01-08-2022,100.76430
31-07-2022,100.74240
29-07-2022,100.71250
28-07-2022,100.69740
27-07-2022,100.68350
26-07-2022,100.68110
25-07-2022,100.67870
24-07-2022,100.66500
22-07-2022,100.63690
21-07-2022,100.62660
20-07-2022,100.61980
19-07-2022,100.61490
18-07-2022,100.60420
17-07-2022,100.59160
15-07-2022,100.56500
14-07-2022,100.55480
13-07-2022,100.53960
12-07-2022,100.52690
11-07-2022,100.51430
10-07-2022,100.50290
08-07-2022,100.47690
07-07-2022,100.46610
06-07-2022,100.45220
05-07-2022,100.43520
04-07-2022,100.42180
03-07-2022,100.40610
01-07-2022,100.37980
30-06-2022,101.36030
29-06-2022,101.34170
28-06-2022,101.32730
27-06-2022,101.31450
26-06-2022,101.30440
24-06-2022,101.27780
23-06-2022,101.26450
22-06-2022,101.24940
21-06-2022,101.23440
20-06-2022,101.21960
19-06-2022,101.20420
17-06-2022,101.17760
16-06-2022,101.17320
15-06-2022,101.16070
14-06-2022,101.15040
13-06-2022,101.13710
12-06-2022,101.12870
10-06-2022,101.10320
09-06-2022,101.08990
08-06-2022,101.07550
07-06-2022,101.04730
06-06-2022,101.04540
05-06-2022,101.03440
03-06-2022,101.00990
02-06-2022,100.99720
01-06-2022,100.98550
31-05-2022,100.97540
30-05-2022,100.96300
29-05-2022,100.94830
27-05-2022,100.92400
26-05-2022,100.91190
25-05-2022,100.90030
24-05-2022,100.88690
23-05-2022,100.87390
22-05-2022,100.86170
20-05-2022,100.83780
19-05-2022,100.82530
18-05-2022,100.81230
17-05-2022,100.80140
16-05-2022,100.78640
13-05-2022,100.75060
12-05-2022,100.74200
11-05-2022,100.72960
10-05-2022,100.71890
09-05-2022,100.70790
08-05-2022,100.70100
06-05-2022,100.67740
05-05-2022,100.66570
04-05-2022,100.67840
03-05-2022,100.71030
02-05-2022,100.70000
01-05-2022,100.68710
29-04-2022,100.66630
28-04-2022,100.66080
27-04-2022,100.65380
26-04-2022,100.64470
25-04-2022,100.63950
24-04-2022,100.63120
22-04-2022,100.61140
21-04-2022,100.60650
20-04-2022,100.59540
19-04-2022,100.58100
18-04-2022,100.56500
17-04-2022,100.55470
13-04-2022,100.51500
12-04-2022,100.50820
11-04-2022,100.49750
10-04-2022,100.48620
08-04-2022,100.46700
07-04-2022,100.47200
06-04-2022,100.46290
05-04-2022,100.45250
04-04-2022,100.44090
03-04-2022,100.41990
31-03-2022,100.39020
30-03-2022,101.22880
29-03-2022,101.22150
28-03-2022,101.21240
27-03-2022,101.20260
25-03-2022,101.18270
24-03-2022,101.17190
23-03-2022,101.16210
22-03-2022,101.15440
21-03-2022,101.14540
20-03-2022,101.13540
17-03-2022,101.10570
16-03-2022,101.09450
15-03-2022,101.08480
14-03-2022,101.07000
13-03-2022,101.05750
11-03-2022,101.03780
10-03-2022,101.02690
09-03-2022,101.01600
08-03-2022,101.00660
07-03-2022,100.99940
06-03-2022,100.99040
04-03-2022,100.97120
03-03-2022,100.96190
02-03-2022,100.95450
01-03-2022,100.94550
28-02-2022,100.93610
27-02-2022,100.92810
25-02-2022,100.90930
24-02-2022,100.89910
23-02-2022,100.89030
22-02-2022,100.87910
21-02-2022,100.87130
20-02-2022,100.86270
18-02-2022,100.84390
17-02-2022,100.83520
16-02-2022,100.82460
15-02-2022,100.81360
14-02-2022,100.80330
13-02-2022,100.79260
11-02-2022,100.77410
10-02-2022,100.76310
09-02-2022,100.74400
08-02-2022,100.73480
07-02-2022,100.72550
06-02-2022,100.71590
04-02-2022,100.69670
03-02-2022,100.68720
02-02-2022,100.67640
01-02-2022,100.67290
31-01-2022,100.66440
30-01-2022,100.65480
28-01-2022,100.63590
27-01-2022,100.62470
26-01-2022,100.61900
25-01-2022,100.60930
24-01-2022,100.60050
23-01-2022,100.59080
21-01-2022,100.57130
20-01-2022,100.56100
19-01-2022,100.55340
18-01-2022,100.55470
17-01-2022,100.54920
16-01-2022,100.54110
14-01-2022,100.52320
13-01-2022,100.51490
12-01-2022,100.50380
11-01-2022,100.49090
10-01-2022,100.48120
09-01-2022,100.47310
07-01-2022,100.45520
06-01-2022,100.44620
05-01-2022,100.43850
04-01-2022,100.42570
03-01-2022,100.41500
02-01-2022,100.40350
31-12-2021,100.38540
30-12-2021,100.37330
29-12-2021,101.19570
28-12-2021,101.18480
27-12-2021,101.17570
26-12-2021,101.16470
24-12-2021,101.14610
23-12-2021,101.13390
22-12-2021,101.12200
21-12-2021,101.11230
20-12-2021,101.10800
19-12-2021,101.09750
17-12-2021,101.07700
16-12-2021,101.06700
15-12-2021,101.06140
14-12-2021,101.05290
13-12-2021,101.04600
12-12-2021,101.03670
10-12-2021,101.01840
09-12-2021,101.01000
08-12-2021,101.00180
07-12-2021,100.98990
06-12-2021,100.98180
05-12-2021,100.97330
03-12-2021,100.95530
02-12-2021,100.94570
01-12-2021,100.93700
30-11-2021,100.92840
29-11-2021,100.91900
28-11-2021,100.90980
26-11-2021,100.89190
25-11-2021,100.88300
24-11-2021,100.87320
23-11-2021,100.86210
22-11-2021,100.85240
21-11-2021,100.84520
18-11-2021,100.81700
17-11-2021,100.80760
16-11-2021,100.79790
15-11-2021,100.78860
14-11-2021,100.77900
12-11-2021,100.76180
11-11-2021,100.75220
10-11-2021,100.74270
09-11-2021,100.73340
08-11-2021,100.72110
07-11-2021,100.70530
03-11-2021,100.66390
02-11-2021,100.65120
01-11-2021,100.64080
31-10-2021,100.63270
29-10-2021,100.61410
28-10-2021,100.60620
27-10-2021,100.59890
26-10-2021,100.59090
25-10-2021,100.58440
24-10-2021,100.58310
22-10-2021,100.56590
21-10-2021,100.55750
20-10-2021,100.54870
19-10-2021,100.54180
18-10-2021,100.53320
17-10-2021,100.53110
14-10-2021,100.50590
13-10-2021,100.50000
