date,nav
09-10-2014,27.33900
08-10-2014,27.33330
07-10-2014,27.32780
06-10-2014,27.32230
01-10-2014,27.29440
30-09-2014,27.28910
29-09-2014,27.28350
28-09-2014,27.27780
26-09-2014,27.26640
25-09-2014,27.26060
24-09-2014,27.25490
23-09-2014,27.24920
22-09-2014,27.24340
21-09-2014,27.23770
19-09-2014,27.22620
18-09-2014,27.22050
17-09-2014,27.21470
16-09-2014,27.20900
15-09-2014,27.20330
14-09-2014,27.19750
12-09-2014,27.18610
11-09-2014,27.18040
10-09-2014,27.17470
09-09-2014,27.16900
08-09-2014,27.16340
07-09-2014,27.15780
05-09-2014,27.14670
04-09-2014,27.14120
03-09-2014,27.13570
02-09-2014,27.13010
01-09-2014,27.12460
31-08-2014,27.11910
28-08-2014,27.10230
27-08-2014,27.09680
26-08-2014,27.09120
25-08-2014,27.08570
24-08-2014,27.08020
22-08-2014,27.06920
21-08-2014,27.06380
20-08-2014,27.05840
19-08-2014,27.05290
18-08-2014,27.04740
17-08-2014,27.04190
14-08-2014,27.02520
13-08-2014,27.01970
12-08-2014,27.01410
11-08-2014,27.00860
10-08-2014,27.00320
08-08-2014,26.99240
07-08-2014,26.98700
06-08-2014,26.98150
05-08-2014,26.97600
04-08-2014,26.97050
03-08-2014,26.96500
01-08-2014,26.95400
31-07-2014,26.94850
30-07-2014,26.94300
29-07-2014,26.93750
28-07-2014,26.93190
27-07-2014,26.92640
25-07-2014,26.91530
24-07-2014,26.91060
23-07-2014,26.90510
22-07-2014,26.89960
21-07-2014,26.89400
20-07-2014,26.88850
18-07-2014,26.87750
17-07-2014,26.87200
16-07-2014,26.86650
15-07-2014,26.86090
14-07-2014,26.85540
13-07-2014,26.84990
11-07-2014,26.83890
10-07-2014,26.83330
09-07-2014,26.82780
08-07-2014,26.82230
07-07-2014,26.81670
06-07-2014,26.81120
04-07-2014,26.80020
03-07-2014,26.79440
02-07-2014,26.78900
01-07-2014,26.78320
30-06-2014,26.77720
29-06-2014,26.77150
27-06-2014,26.76050
26-06-2014,26.75510
25-06-2014,26.74950
24-06-2014,26.74430
23-06-2014,26.73880
22-06-2014,26.73360
20-06-2014,26.72280
19-06-2014,26.71720
18-06-2014,26.71120
17-06-2014,26.70570
16-06-2014,26.70000
15-06-2014,26.69470
13-06-2014,26.68390
12-06-2014,26.67830
11-06-2014,26.67240
10-06-2014,26.66670
09-06-2014,26.66180
08-06-2014,26.65710
06-06-2014,26.64640
05-06-2014,26.64020
04-06-2014,26.63500
03-06-2014,26.62970
02-06-2014,26.62470
01-06-2014,26.61920
30-05-2014,26.60800
29-05-2014,26.60240
28-05-2014,26.59680
27-05-2014,26.59120
26-05-2014,26.58560
25-05-2014,26.58000
23-05-2014,26.56890
22-05-2014,26.56330
21-05-2014,26.55770
20-05-2014,26.55210
19-05-2014,26.54650
18-05-2014,26.54090
16-05-2014,26.52970
15-05-2014,26.52410
14-05-2014,26.51840
13-05-2014,26.51280
12-05-2014,26.50720
11-05-2014,26.50160
09-05-2014,26.49030
08-05-2014,26.48470
07-05-2014,26.47910
06-05-2014,26.47350
05-05-2014,26.46790
04-05-2014,26.46230
02-05-2014,26.45100
01-05-2014,26.44540
30-04-2014,26.43980
29-04-2014,26.43420
28-04-2014,26.42850
27-04-2014,26.42290
25-04-2014,26.41160
24-04-2014,26.40600
23-04-2014,26.40040
22-04-2014,26.39480
21-04-2014,26.38910
20-04-2014,26.38350
17-04-2014,26.36680
16-04-2014,26.36110
15-04-2014,26.35530
14-04-2014,26.34980
11-04-2014,26.33290
10-04-2014,26.32730
09-04-2014,26.32170
08-04-2014,26.31630
07-04-2014,26.31070
06-04-2014,26.30440
04-04-2014,26.29330
03-04-2014,26.28500
02-04-2014,26.27830
01-04-2014,26.27760
31-03-2014,26.27200
30-03-2014,26.26650
28-03-2014,26.25530
27-03-2014,26.22140
26-03-2014,26.21480
25-03-2014,26.21010
24-03-2014,26.20720
23-03-2014,26.19540
21-03-2014,26.18410
20-03-2014,26.17510
19-03-2014,26.16630
18-03-2014,26.16060
17-03-2014,26.15300
14-03-2014,26.13550
13-03-2014,26.12880
12-03-2014,26.12250
11-03-2014,26.11710
10-03-2014,26.10760
09-03-2014,26.10110
07-03-2014,26.08840
06-03-2014,26.07890
05-03-2014,26.07390
04-03-2014,26.06490
03-03-2014,26.06340
02-03-2014,26.05820
28-02-2014,26.04770
27-02-2014,26.04250
26-02-2014,26.03710
25-02-2014,26.03180
24-02-2014,26.02650
23-02-2014,26.02120
21-02-2014,26.01050
20-02-2014,26.00520
19-02-2014,25.99990
18-02-2014,25.99450
17-02-2014,25.98920
16-02-2014,25.98390
14-02-2014,25.97310
13-02-2014,25.96780
12-02-2014,25.96240
11-02-2014,25.95710
10-02-2014,25.95170
09-02-2014,25.94630
07-02-2014,25.93570
06-02-2014,25.93040
05-02-2014,25.92510
04-02-2014,25.91980
03-02-2014,25.91450
02-02-2014,25.90920
31-01-2014,25.89860
30-01-2014,25.89330
29-01-2014,25.88800
28-01-2014,25.88270
27-01-2014,25.87740
26-01-2014,25.87200
24-01-2014,25.86150
23-01-2014,25.85620
22-01-2014,25.85090
21-01-2014,25.84490
20-01-2014,25.83960
19-01-2014,25.83420
17-01-2014,25.82340
16-01-2014,25.81820
15-01-2014,25.81300
14-01-2014,25.80750
13-01-2014,25.80210
12-01-2014,25.79680
10-01-2014,25.78610
09-01-2014,25.78000
08-01-2014,25.77480
07-01-2014,25.77000
06-01-2014,25.76510
05-01-2014,25.75990
03-01-2014,25.74960
02-01-2014,25.74420
01-01-2014,25.73740
31-12-2013,25.73050
30-12-2013,25.72200
29-12-2013,25.71750
27-12-2013,25.70660
26-12-2013,25.70130
25-12-2013,25.69560
24-12-2013,25.69020
23-12-2013,25.68470
22-12-2013,25.67880
20-12-2013,25.66790
19-12-2013,25.66300
18-12-2013,25.65710
17-12-2013,25.65100
16-12-2013,25.64350
15-12-2013,25.63770
13-12-2013,25.62710
12-12-2013,25.62510
11-12-2013,25.61430
10-12-2013,25.60660
09-12-2013,25.60120
08-12-2013,25.59770
06-12-2013,25.58720
05-12-2013,25.58340
04-12-2013,25.57530
03-12-2013,25.56920
02-12-2013,25.56400
01-12-2013,25.55860
29-11-2013,25.54790
28-11-2013,25.54250
27-11-2013,25.53710
26-11-2013,25.53160
25-11-2013,25.52610
24-11-2013,25.52060
22-11-2013,25.50960
21-11-2013,25.50410
20-11-2013,25.49860
19-11-2013,25.49310
18-11-2013,25.48760
17-11-2013,25.48190
14-11-2013,25.46460
13-11-2013,25.45820
12-11-2013,25.45230
11-11-2013,25.44670
10-11-2013,25.44080
08-11-2013,25.42920
07-11-2013,25.42370
06-11-2013,25.41790
05-11-2013,25.41200
04-11-2013,25.40620
01-11-2013,25.38750
31-10-2013,25.38140
30-10-2013,25.37520
29-10-2013,25.36880
28-10-2013,25.36250
27-10-2013,25.35610
25-10-2013,25.34330
24-10-2013,25.33580
23-10-2013,25.32940
22-10-2013,25.32300
21-10-2013,25.31650
20-10-2013,25.31010
18-10-2013,25.29740
17-10-2013,25.29090
16-10-2013,25.28450
15-10-2013,25.27810
14-10-2013,25.27180
13-10-2013,25.26550
11-10-2013,25.25290
10-10-2013,25.24610
09-10-2013,25.23990
08-10-2013,25.23150
07-10-2013,25.22360
06-10-2013,25.21260
04-10-2013,25.19940
03-10-2013,25.19090
02-10-2013,25.18420
01-10-2013,25.17740
30-09-2013,25.17010
29-09-2013,25.16310
27-09-2013,25.14940
26-09-2013,25.13950
25-09-2013,25.13250
24-09-2013,25.12540
23-09-2013,25.11870
22-09-2013,25.11190
20-09-2013,25.09830
19-09-2013,25.09090
18-09-2013,25.08000
17-09-2013,25.07290
16-09-2013,25.06590
15-09-2013,25.05890
13-09-2013,25.04500
12-09-2013,25.03820
11-09-2013,25.03120
10-09-2013,25.02410
09-09-2013,25.01690
06-09-2013,24.99560
05-09-2013,24.98850
04-09-2013,24.97860
03-09-2013,24.97160
02-09-2013,24.96470
01-09-2013,24.95780
30-08-2013,24.94390
29-08-2013,24.93690
28-08-2013,24.92990
27-08-2013,24.92300
26-08-2013,24.91600
25-08-2013,24.90900
23-08-2013,24.89500
22-08-2013,24.88790
21-08-2013,24.88100
20-08-2013,24.87390
19-08-2013,24.86690
18-08-2013,24.85990
16-08-2013,24.84580
15-08-2013,24.83880
14-08-2013,24.83170
13-08-2013,24.82470
12-08-2013,24.81770
11-08-2013,24.81070
08-08-2013,24.78960
07-08-2013,24.78250
06-08-2013,24.77440
05-08-2013,24.76620
04-08-2013,24.75740
02-08-2013,24.74350
01-08-2013,24.73660
31-07-2013,24.72960
30-07-2013,24.72250
29-07-2013,24.71550
28-07-2013,24.70850
26-07-2013,24.69470
25-07-2013,24.68780
24-07-2013,24.68090
23-07-2013,24.72120
22-07-2013,24.71740
21-07-2013,24.71160
19-07-2013,24.70010
18-07-2013,24.69390
17-07-2013,24.67380
16-07-2013,24.66380
15-07-2013,24.74860
14-07-2013,24.74390
12-07-2013,24.73480
11-07-2013,24.72920
10-07-2013,24.72450
09-07-2013,24.71960
08-07-2013,24.71470
07-07-2013,24.71190
05-07-2013,24.70360
04-07-2013,24.69990
03-07-2013,24.69350
02-07-2013,24.68690
01-07-2013,24.67820
28-06-2013,24.66420
27-06-2013,24.65070
26-06-2013,24.64430
25-06-2013,24.63940
24-06-2013,24.63470
23-06-2013,24.63020
21-06-2013,24.62060
20-06-2013,24.61550
19-06-2013,24.61290
18-06-2013,24.60670
17-06-2013,24.59930
16-06-2013,24.59390
14-06-2013,24.58460
13-06-2013,24.58010
12-06-2013,24.57530
11-06-2013,24.57100
10-06-2013,24.56730
09-06-2013,24.56280
07-06-2013,24.55270
06-06-2013,24.54770
05-06-2013,24.54280
04-06-2013,24.53780
03-06-2013,24.53290
02-06-2013,24.52800
31-05-2013,24.51800
30-05-2013,24.51290
29-05-2013,24.50790
28-05-2013,24.50300
27-05-2013,24.49800
26-05-2013,24.49300
24-05-2013,24.48280
23-05-2013,24.47770
22-05-2013,24.47250
21-05-2013,24.46740
20-05-2013,24.46230
19-05-2013,24.45700
17-05-2013,24.44670
16-05-2013,24.44170
15-05-2013,24.43690
14-05-2013,24.43170
13-05-2013,24.42660
12-05-2013,24.42140
10-05-2013,24.41110
09-05-2013,24.40590
08-05-2013,24.40080
07-05-2013,24.39580
06-05-2013,24.39070
05-05-2013,24.38470
03-05-2013,24.37420
02-05-2013,24.36900
01-05-2013,24.36390
30-04-2013,24.35860
29-04-2013,24.35340
28-04-2013,24.34830
26-04-2013,24.33790
25-04-2013,24.33280
24-04-2013,24.32750
23-04-2013,24.32240
22-04-2013,24.31700
21-04-2013,24.31170
18-04-2013,24.29630
17-04-2013,24.29120
16-04-2013,24.28620
15-04-2013,24.28080
14-04-2013,24.27470
12-04-2013,24.26540
11-04-2013,24.25920
10-04-2013,24.25500
09-04-2013,24.24860
08-04-2013,24.24330
07-04-2013,24.23850
05-04-2013,24.22990
04-04-2013,24.22460
03-04-2013,24.21950
02-04-2013,24.21400
01-04-2013,24.19720
31-03-2013,24.19170
