date,nav
18-03-2015,22.96250
17-03-2015,22.95700
16-03-2015,22.95170
15-03-2015,22.94640
13-03-2015,22.93570
12-03-2015,22.93040
11-03-2015,22.92510
10-03-2015,22.91990
09-03-2015,22.91460
08-03-2015,22.90920
05-03-2015,22.89360
04-03-2015,22.88820
03-03-2015,22.88270
02-03-2015,22.87750
01-03-2015,22.87220
27-02-2015,22.86180
26-02-2015,22.85640
25-02-2015,22.85110
24-02-2015,22.84580
23-02-2015,22.84060
22-02-2015,22.83530
20-02-2015,22.82500
19-02-2015,22.81980
18-02-2015,22.81460
17-02-2015,22.80940
16-02-2015,22.80430
15-02-2015,22.79900
13-02-2015,22.78860
12-02-2015,22.78340
11-02-2015,22.77820
10-02-2015,22.77300
09-02-2015,22.76770
08-02-2015,22.76250
06-02-2015,22.75210
05-02-2015,22.74680
04-02-2015,22.74160
03-02-2015,22.73640
02-02-2015,22.73110
01-02-2015,22.72590
30-01-2015,22.71560
29-01-2015,22.71040
28-01-2015,22.70510
27-01-2015,22.69990
26-01-2015,22.69470
23-01-2015,22.67900
22-01-2015,22.67380
21-01-2015,22.66850
20-01-2015,22.66330
19-01-2015,22.65810
18-01-2015,22.65290
16-01-2015,22.64250
15-01-2015,22.63720
14-01-2015,22.63190
13-01-2015,22.62660
12-01-2015,22.62130
11-01-2015,22.61610
09-01-2015,22.60570
08-01-2015,22.60050
07-01-2015,22.59530
06-01-2015,22.59010
05-01-2015,22.58480
04-01-2015,22.57960
02-01-2015,22.56910
01-01-2015,22.56400
31-12-2014,22.55860
30-12-2014,22.55240
29-12-2014,22.54690
28-12-2014,22.54160
26-12-2014,22.53120
25-12-2014,22.52600
24-12-2014,22.52080
23-12-2014,22.51570
22-12-2014,22.51050
21-12-2014,22.50530
19-12-2014,22.49470
18-12-2014,22.48950
17-12-2014,22.48430
16-12-2014,22.47900
15-12-2014,22.47380
14-12-2014,22.46860
12-12-2014,22.45830
11-12-2014,22.45310
10-12-2014,22.44800
09-12-2014,22.44290
08-12-2014,22.43770
07-12-2014,22.43260
05-12-2014,22.42220
04-12-2014,22.41700
03-12-2014,22.41180
02-12-2014,22.40660
01-12-2014,22.40140
30-11-2014,22.39620
28-11-2014,22.38600
27-11-2014,22.38080
26-11-2014,22.37560
25-11-2014,22.37040
24-11-2014,22.36530
23-11-2014,22.36010
21-11-2014,22.34970
20-11-2014,22.34450
19-11-2014,22.33930
18-11-2014,22.33410
17-11-2014,22.32890
16-11-2014,22.32370
14-11-2014,22.31340
13-11-2014,22.30820
12-11-2014,22.30300
11-11-2014,22.29780
10-11-2014,22.29260
09-11-2014,22.28740
07-11-2014,22.27700
06-11-2014,22.27180
05-11-2014,22.26660
04-11-2014,22.26130
03-11-2014,22.25620
02-11-2014,22.25080
31-10-2014,22.24060
30-10-2014,22.23490
29-10-2014,22.22960
28-10-2014,22.22430
27-10-2014,22.21910
26-10-2014,22.21390
22-10-2014,22.19270
21-10-2014,22.18740
20-10-2014,22.18210
19-10-2014,22.17680
17-10-2014,22.16630
16-10-2014,22.16100
15-10-2014,22.15580
14-10-2014,22.15050
13-10-2014,22.14520
12-10-2014,22.14000
10-10-2014,22.12950
09-10-2014,22.12420
08-10-2014,22.11900
07-10-2014,22.11370
06-10-2014,22.10830
01-10-2014,22.08180
30-09-2014,22.07600
29-09-2014,22.07050
28-09-2014,22.06500
26-09-2014,22.05460
25-09-2014,22.04930
24-09-2014,22.04390
23-09-2014,22.03870
22-09-2014,22.03350
21-09-2014,22.02830
19-09-2014,22.01780
18-09-2014,22.01260
17-09-2014,22.00740
16-09-2014,22.00220
15-09-2014,21.99700
14-09-2014,21.99180
12-09-2014,21.98150
11-09-2014,21.97640
10-09-2014,21.97130
09-09-2014,21.96610
08-09-2014,21.96110
07-09-2014,21.95590
05-09-2014,21.94570
04-09-2014,21.94050
03-09-2014,21.93540
02-09-2014,21.93030
01-09-2014,21.92520
31-08-2014,21.92010
28-08-2014,21.90510
27-08-2014,21.90000
26-08-2014,21.89490
25-08-2014,21.88990
24-08-2014,21.88480
22-08-2014,21.87460
21-08-2014,21.86950
20-08-2014,21.86450
19-08-2014,21.85940
18-08-2014,21.85430
17-08-2014,21.84920
14-08-2014,21.83400
13-08-2014,21.82890
12-08-2014,21.82390
11-08-2014,21.81880
10-08-2014,21.81370
08-08-2014,21.80360
07-08-2014,21.79850
06-08-2014,21.79340
05-08-2014,21.78840
04-08-2014,21.78340
03-08-2014,21.77830
01-08-2014,21.76830
31-07-2014,21.76330
30-07-2014,21.75820
29-07-2014,21.75320
28-07-2014,21.74810
27-07-2014,21.74300
25-07-2014,21.73280
24-07-2014,21.72770
23-07-2014,21.72260
22-07-2014,21.71750
21-07-2014,21.71250
20-07-2014,21.70740
18-07-2014,21.69740
17-07-2014,21.69240
16-07-2014,21.68740
15-07-2014,21.68230
14-07-2014,21.67720
13-07-2014,21.67220
11-07-2014,21.66200
10-07-2014,21.65700
09-07-2014,21.65190
08-07-2014,21.64670
07-07-2014,21.64160
06-07-2014,21.63650
04-07-2014,21.62660
03-07-2014,21.62160
02-07-2014,21.61650
01-07-2014,21.61140
30-06-2014,21.60610
29-06-2014,21.60090
27-06-2014,21.59060
26-06-2014,21.58540
25-06-2014,21.58040
24-06-2014,21.57530
23-06-2014,21.57030
22-06-2014,21.56530
20-06-2014,21.55530
19-06-2014,21.55030
18-06-2014,21.54520
17-06-2014,21.54010
16-06-2014,21.53500
15-06-2014,21.53000
13-06-2014,21.51980
12-06-2014,21.51480
11-06-2014,21.50970
10-06-2014,21.50470
09-06-2014,21.49960
08-06-2014,21.49450
06-06-2014,21.48430
05-06-2014,21.47910
04-06-2014,21.47400
03-06-2014,21.46890
02-06-2014,21.46390
01-06-2014,21.45880
30-05-2014,21.44880
29-05-2014,21.44380
28-05-2014,21.43860
27-05-2014,21.43360
26-05-2014,21.42850
25-05-2014,21.42330
23-05-2014,21.41300
22-05-2014,21.40780
21-05-2014,21.40260
20-05-2014,21.39750
19-05-2014,21.39230
18-05-2014,21.38720
16-05-2014,21.37690
15-05-2014,21.37180
14-05-2014,21.36660
13-05-2014,21.36140
12-05-2014,21.35620
11-05-2014,21.35100
09-05-2014,21.34070
