date,nav
22-09-2024,664.30610
20-09-2024,664.05440
19-09-2024,663.91200
18-09-2024,663.77520
17-09-2024,663.64680
16-09-2024,663.52080
15-09-2024,663.39810
13-09-2024,663.14760
12-09-2024,663.02480
11-09-2024,662.90160
10-09-2024,662.77760
09-09-2024,662.66790
08-09-2024,662.54540
06-09-2024,662.29510
05-09-2024,662.18300
04-09-2024,662.06700
03-09-2024,661.94520
02-09-2024,661.82450
01-09-2024,661.68930
30-08-2024,661.44240
29-08-2024,661.32520
28-08-2024,661.20710
27-08-2024,661.08710
26-08-2024,660.96280
25-08-2024,660.84050
24-08-2024,660.71580
23-08-2024,660.59110
22-08-2024,660.47320
21-08-2024,660.34780
20-08-2024,660.22830
19-08-2024,660.09980
18-08-2024,659.98220
16-08-2024,659.73780
15-08-2024,659.60460
14-08-2024,659.48210
13-08-2024,659.35560
12-08-2024,659.23720
11-08-2024,659.11690
09-08-2024,658.87320
08-08-2024,658.74950
07-08-2024,658.62320
06-08-2024,658.49500
05-08-2024,658.38680
04-08-2024,658.25460
02-08-2024,658.01100
01-08-2024,657.89200
31-07-2024,657.76560
30-07-2024,657.64540
29-07-2024,657.51770
28-07-2024,657.40210
26-07-2024,657.16010
25-07-2024,657.03610
24-07-2024,656.90690
23-07-2024,656.78170
22-07-2024,656.67040
21-07-2024,656.54950
19-07-2024,656.30820
18-07-2024,656.18590
17-07-2024,656.04960
16-07-2024,655.92850
15-07-2024,655.81540
14-07-2024,655.67390
12-07-2024,655.43210
11-07-2024,655.30040
10-07-2024,655.16270
09-07-2024,655.03890
08-07-2024,654.91240
07-07-2024,654.80530
05-07-2024,654.56260
04-07-2024,654.45850
03-07-2024,654.34800
02-07-2024,654.21260
01-07-2024,654.01170
30-06-2024,653.79530
28-06-2024,653.54490
27-06-2024,653.37350
26-06-2024,653.26320
25-06-2024,653.15520
24-06-2024,653.06970
23-06-2024,652.94890
21-06-2024,652.70350
20-06-2024,652.58910
19-06-2024,652.46680
18-06-2024,652.33550
17-06-2024,652.21390
